Latitude;Longitude;Speed;Time (absolute)
-2244.314600;-4732.075400;32.410000;1543678821.562343
-2244.313500;-4732.075600;35.780640;1543678821.670257
-2244.313500;-4732.075600;35.780640;1543678821.771176
-2244.312300;-4732.075700;38.484560;1543678821.874728
-2244.312300;-4732.075700;38.484560;1543678821.999002
-2244.311100;-4732.075800;39.410560;1543678822.099351
-2244.311100;-4732.075800;39.410560;1543678822.217508
-2244.309700;-4732.076100;42.892320;1543678822.353044
-2244.308200;-4732.076600;46.633360;1543678822.455152
-2244.308200;-4732.076600;46.633360;1543678822.542610
-2244.306600;-4732.077000;49.541000;1543678822.650777
-2244.306600;-4732.077000;49.541000;1543678822.766322
-2244.305100;-4732.077400;49.670640;1543678822.870557
-2244.305100;-4732.077400;49.670640;1543678822.981715
-2244.303600;-4732.077700;49.374320;1543678823.081733
-2244.303600;-4732.077700;49.374320;1543678823.219291
-2244.302200;-4732.077900;48.114960;1543678823.326236
-2244.302200;-4732.077900;48.114960;1543678823.433606
-2244.300900;-4732.077900;44.688760;1543678823.538375
-2244.299700;-4732.077600;38.354920;1543678823.658094
-2244.299700;-4732.077600;38.354920;1543678823.774453
-2244.298800;-4732.077300;31.817360;1543678823.880133
-2244.298800;-4732.077300;31.817360;1543678823.990884
-2244.298000;-4732.076700;31.132120;1543678824.105982
-2244.298000;-4732.076700;31.132120;1543678824.206190
-2244.297300;-4732.075900;33.521200;1543678824.363275
-2244.296800;-4732.074700;37.299280;1543678824.462944
-2244.296800;-4732.074700;37.299280;1543678824.566502
-2244.296100;-4732.073500;41.670000;1543678824.686150
-2244.296100;-4732.073500;41.670000;1543678824.794490
-2244.295200;-4732.072200;45.040640;1543678824.894723
-2244.295200;-4732.072200;45.040640;1543678824.994759
-2244.294400;-4732.071000;45.374000;1543678825.095676
-2244.294400;-4732.071000;45.374000;1543678825.222351
-2244.293400;-4732.069900;46.522240;1543678825.309560
-2244.293400;-4732.069900;46.522240;1543678825.424308
-2244.292200;-4732.068900;48.096440;1543678825.539643
-2244.290800;-4732.068300;47.522320;1543678825.649113
-2244.290800;-4732.068300;47.522320;1543678825.765630
-2244.289400;-4732.068000;46.337040;1543678825.870600
-2244.289400;-4732.068000;46.337040;1543678825.990684
-2244.288000;-4732.067800;46.281480;1543678826.102169
-2244.288000;-4732.067800;46.281480;1543678826.191992
-2244.286600;-4732.068000;45.374000;1543678826.292750
-2244.286600;-4732.068000;45.374000;1543678826.410086
-2244.285300;-4732.068600;45.466600;1543678826.538408
-2244.284100;-4732.069400;46.300000;1543678826.644551
-2244.284100;-4732.069400;46.300000;1543678826.770544
-2244.282800;-4732.070200;48.763160;1543678826.922311
-2244.282800;-4732.070200;48.763160;1543678826.988282
-2244.281400;-4732.071000;50.133640;1543678827.099625
-2244.281400;-4732.071000;50.133640;1543678827.205225
-2244.280000;-4732.071700;53.207960;1543678827.322158
-2244.280000;-4732.071700;53.207960;1543678827.423463
-2244.278600;-4732.072500;52.078240;1543678827.537146
-2244.277400;-4732.073100;46.262960;1543678827.655974
-2244.277400;-4732.073100;46.262960;1543678827.776097
-2244.276500;-4732.073600;38.595680;1543678827.906300
-2244.276500;-4732.073600;38.595680;1543678828.009736
-2244.275500;-4732.074200;36.688120;1543678828.112435
-2244.275500;-4732.074200;36.688120;1543678828.214417
-2244.274800;-4732.074600;26.668800;1543678828.341218
-2244.274800;-4732.074600;26.668800;1543678828.426559
-2244.274400;-4732.074800;20.483120;1543678828.538655
-2244.273900;-4732.074700;17.038400;1543678828.666178
-2244.273900;-4732.074700;17.038400;1543678828.785256
-2244.273400;-4732.074600;18.149600;1543678828.907419
-2244.273400;-4732.074600;18.149600;1543678829.019624
-2244.273000;-4732.074300;18.260720;1543678829.121178
-2244.272500;-4732.073700;20.390520;1543678829.221670
-2244.272500;-4732.073700;20.390520;1543678829.326490
-2244.272000;-4732.073000;24.668640;1543678829.442456
-2244.272000;-4732.073000;24.668640;1543678829.565417
-2244.271400;-4732.072200;28.557840;1543678829.671679
-2244.271400;-4732.072200;28.557840;1543678829.774395
-2244.270800;-4732.071400;31.984040;1543678829.893221
-2244.270800;-4732.071400;31.984040;1543678830.003178
-2244.270200;-4732.070500;32.095160;1543678830.122347
-2244.269700;-4732.069600;32.039600;1543678830.213597
-2244.269700;-4732.069600;32.039600;1543678830.315136
-2244.269700;-4732.069600;32.039600;1543678830.414829
-2244.269400;-4732.068700;30.780240;1543678830.530629
-2244.269600;-4732.067600;29.261600;1543678830.669671
-2244.269600;-4732.067600;29.261600;1543678830.744289
-2244.269700;-4732.066600;37.595600;1543678830.862724
-2244.269700;-4732.066600;37.595600;1543678830.989984
-2244.270300;-4732.065500;39.262400;1543678831.091955
-2244.270300;-4732.065500;39.262400;1543678831.204666
-2244.271300;-4732.064400;44.170200;1543678831.306237
